region_level,name,region,long,lat,month_no,month,date,id,admission_type,admissions,monthly covid cases
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,total_admissions,919000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,daycase_elective,36000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,ordinary_elective,14000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,non_elective,45000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,GP_ref,83000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,DNA,70000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,1,Apr-18,04/01/2018,ABC,first_attendance,186000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,total_admissions,919000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,daycase_elective,36000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,ordinary_elective,14000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,non_elective,45000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,GP_ref,83000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,DNA,70000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,2,May-18,05/01/2018,ABC,first_attendance,186000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,total_admissions,919000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,daycase_elective,36000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,ordinary_elective,14000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,non_elective,45000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,GP_ref,83000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,DNA,70000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,3,Jun-18,06/01/2018,ABC,first_attendance,186000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,4,Jul-18,07/01/2018,ABC,total_admissions,919000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,4,Jul-18,07/01/2018,ABC,daycase_elective,36000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,4,Jul-18,07/01/2018,ABC,ordinary_elective,14000,68000
CCG,FIX_SIZE,NA,2.960542513,51.77036148,4,Jul-18,07/01/2018,ABC,non_elective,45000,68000
