financial_year,reporting_period,month,date,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA,total_admissions
2018-19,14,Apr-18,01/04/2018,National,All,NA,NA,NATIONAL,NA,109226,579543,688769,555711,971214,846413,1817627,140602,3578180,293887,112193,580161,692354,676084,1194643,1217914,2412557,187256,5303072,431332,22388738
2018-19,14,May-18,01/05/2018,National,All,NA,NA,NATIONAL,NA,122568,622131,744699,589739,1059736,922519,1982255,157126,3819303,320351,125743,622875,748618,717675,1295120,1318826,2613946,207427,5655653,466285,24112595
2018-19,14,Jun-18,01/06/2018,National,All,NA,NA,NATIONAL,NA,122302,607685,729987,570030,1020700,903571,1924271,154650,3685044,314159,125672,608308,733980,693787,1247784,1286721,2534505,203966,5451285,454895,23373302
2018-19,14,Jul-18,01/07/2018,National,All,NA,NA,NATIONAL,NA,120465,620901,741366,582792,1032027,917521,1949548,163024,3747330,323642,123844,621751,745595,710780,1262835,1315650,2578485,216078,5562542,471612,23807788
2018-19,14,Aug-18,01/08/2018,National,All,NA,NA,NATIONAL,NA,116189,601937,718126,574574,969359,865219,1834578,152793,3547863,303223,119520,602709,722229,700600,1188827,1245062,2433889,203845,5298761,444776,22644079
2018-19,14,Sep-18,01/09/2018,National,All,NA,NA,NATIONAL,NA,115790,575060,690850,558829,969027,856991,1826018,152439,3539619,303037,119053,575790,694843,683168,1182724,1223105,2405829,201336,5193279,437270,22304057
2018-19,14,Oct-18,01/10/2018,National,All,NA,NA,NATIONAL,NA,126010,661839,787849,606920,1105909,985167,2091076,168160,4031167,332726,129650,662718,792368,733429,1368584,1423595,2792179,226953,6007573,489671,25523543
2018-19,14,Nov-18,01/11/2018,National,All,NA,NA,NATIONAL,NA,126343,648814,775157,603178,1097167,966594,2063761,162289,3987062,322229,130247,649758,780005,725496,1335723,1377655,2713378,214821,5870054,469448,25019179
2018-19,14,Dec-18,01/12/2018,National,All,NA,NA,NATIONAL,NA,104502,536615,641117,597842,871384,782909,1654293,138061,3150469,265552,108016,537386,645402,718991,1058078,1112420,2170498,181440,4652289,386614,20313878
2018-19,14,Jan-19,01/01/2019,National,All,NA,NA,NATIONAL,NA,110814,651711,762525,620261,1061889,969586,2031475,163637,4008261,331251,114505,653188,767693,742339,1301587,1384171,2685758,216726,5903433,480568,24961378
2018-19,14,Feb-19,01/02/2019,National,All,NA,NA,NATIONAL,NA,109269,592598,701867,556591,959304,866380,1825684,138847,3539160,280070,112485,593998,706483,666581,1170127,1233373,2403500,183136,5206161,406878,22252492
2018-19,14,Mar-19,01/03/2019,National,All,NA,NA,NATIONAL,NA,123193,631989,755182,608608,1025059,928115,1953174,146528,3745453,289247,126850,633116,759966,730489,1245653,1315015,2560668,192762,5492539,419969,23683575
2019-20,14,Apr-19,01/04/2019,National,All,NA,NA,NATIONAL,NA,112715,601133,713848,593814,972567,940018,1912585,144562,3647064,291289,116154,602090,718244,711455,1195696,1324252,2519948,194469,5332476,417497,23061876
2019-20,14,May-19,01/05/2019,National,All,NA,NA,NATIONAL,NA,123150,634400,757550,615424,1015951,995960,2011911,155891,3816183,312503,126479,635325,761804,740308,1247005,1400278,2647283,206537,5573367,443993,24221302
2019-20,14,Jun-19,01/06/2019,National,All,NA,NA,NATIONAL,NA,119553,603302,722855,579559,979445,948847,1928292,150220,3611307,297728,122707,604184,726891,700878,1199787,1329138,2528925,197627,5258156,420614,23030015
2019-20,14,Jul-19,01/07/2019,National,All,NA,NA,NATIONAL,NA,125895,670223,796118,614949,1092771,1057181,2149952,169045,4026334,329359,129127,671205,800332,742225,1338086,1483574,2821660,222418,5873041,466415,25579910
2019-20,14,Aug-19,01/08/2019,National,All,NA,NA,NATIONAL,NA,116866,602104,718970,582952,932317,913904,1846221,146341,3474676,283003,119983,602962,722945,708530,1146634,1291830,2438464,193151,5126801,408090,22376744
2019-20,14,Sep-19,01/09/2019,National,All,NA,NA,NATIONAL,NA,116197,617374,733571,581624,1009605,986456,1996061,158205,3745061,310799,119255,618388,737643,704605,1235030,1382067,2617097,206743,5442586,438805,23757172
2019-20,14,Oct-19,01/10/2019,National,All,NA,NA,NATIONAL,NA,128895,677730,806625,625866,1114693,1066168,2180861,168597,4112480,333220,132185,678712,810897,752511,1363733,1505793,2869526,221008,5996109,473072,26018681
2019-20,14,Nov-19,01/11/2019,National,All,NA,NA,NATIONAL,NA,122926,645018,767944,610347,1043070,998238,2041308,156390,3855759,306880,125941,645952,771893,730169,1272167,1409001,2681168,205426,5611832,436502,24437931
2019-20,14,Dec-19,01/12/2019,National,All,NA,NA,NATIONAL,NA,104901,565408,670309,614917,903047,884482,1787529,145737,3344081,284030,107719,566204,673923,734269,1099856,1247123,2346979,190425,4890860,403886,21565685
2019-20,14,Jan-20,01/01/2020,National,All,NA,NA,NATIONAL,NA,114011,665678,779689,616970,1042043,1046295,2088338,161254,4055496,325701,116874,666711,783585,738476,1278724,1482165,2760889,212092,5898861,460538,25294390
2019-20,14,Feb-20,01/02/2020,National,All,NA,NA,NATIONAL,NA,113907,614742,728649,562479,968847,944353,1913200,140080,3600351,280217,116821,615652,732473,674880,1182780,1335164,2517944,183847,5246811,396365,22869562
2019-20,14,Mar-20,01/03/2020,National,All,NA,NA,NATIONAL,NA,91260,483775,575035,508255,811654,784158,1595812,145645,3241944,281910,94378,484458,578836,623028,987313,1130261,2117574,189498,4739655,399562,19864011
2020-21,14,Apr-20,01/04/2020,National,All,NA,NA,NATIONAL,NA,32082,158030,190112,369019,355477,430103,785580,54178,2069378,119324,34598,158341,192939,473192,443806,668179,1111985,73274,3134241,184170,11038008
2020-21,14,May-20,01/05/2020,National,All,NA,NA,NATIONAL,NA,39834,190591,230425,445601,421184,524061,945245,57763,2212032,125557,42397,190942,233339,559195,509244,768914,1278158,75386,3288130,186670,12324668
2020-21,14,Jun-20,01/06/2020,National,All,NA,NA,NATIONAL,NA,54910,282624,337534,490806,584760,713711,1298471,82843,2911488,175889,57580,283183,340763,604851,702328,1026617,1728945,106425,4204549,253030,16241307
2020-21,14,Jul-20,01/07/2020,National,All,NA,NA,NATIONAL,NA,74320,378137,452457,535566,659940,805864,1465804,97993,3184602,212883,77378,378911,456289,655481,808709,1152899,1961608,127831,4632807,307911,18427390
2020-21,14,Aug-20,01/08/2020,National,All,NA,NA,NATIONAL,NA,80818,386794,467612,523569,612916,760980,1373896,97350,2847141,212285,83559,387755,471314,639548,760751,1080600,1841351,127662,4175615,306217,17237733
2020-21,14,Sep-20,01/09/2020,National,All,NA,NA,NATIONAL,NA,90819,479064,569883,539793,776682,920402,1697084,128395,3522827,279976,93598,480439,574037,656520,955987,1297284,2253271,166059,5066585,390720,20939425
2020-21,14,Oct-20,01/10/2020,National,All,NA,NA,NATIONAL,NA,102101,523261,625362,540582,815195,932482,1747677,130603,3556345,285457,105243,524769,630012,658553,998563,1321641,2320204,169312,5143015,400268,21530645
2020-21,14,Nov-20,01/11/2020,National,All,NA,NA,NATIONAL,NA,88893,512309,601202,509733,845121,932385,1777506,138606,3612809,297098,91889,513773,605662,621268,1025435,1314740,2340175,178589,5229105,413948,21650246
2020-21,14,Dec-20,01/12/2020,National,All,NA,NA,NATIONAL,NA,80135,469490,549625,513799,758356,864783,1623139,129086,3265639,273112,83465,470530,553995,620375,916113,1212858,2128971,166618,4763217,384748,19828054
2020-21,14,Jan-21,01/01/2021,National,All,NA,NA,NATIONAL,NA,54731,393409,448140,492502,698258,816849,1515107,119852,3141340,261033,58000,394023,452023,600732,847490,1184679,2032169,156188,4578142,367387,18612054
2020-21,14,Feb-21,01/02/2021,National,All,NA,NA,NATIONAL,NA,59226,414670,473896,478734,722781,816802,1539583,105879,3161849,234175,62562,415511,478073,582563,868978,1159953,2028931,136943,4559929,327743,18628781
2020-21,14,Mar-21,01/03/2021,National,All,NA,NA,NATIONAL,NA,82027,537886,619913,569529,911139,988777,1899916,127706,3894799,280664,85723,538911,624634,687144,1091565,1393544,2485109,164366,5612283,390555,22986190
2021-22,11,Apr-21,01/04/2021,National,All,NA,NA,NATIONAL,NA,83915,522359,606274,569727,831762,948955,1780717,126081,3622259,272658,87488,523495,610983,688177,1011802,1346853,2358655,165822,5268687,386378,21813047
2021-22,11,May-21,01/05/2021,National,All,NA,NA,NATIONAL,NA,95819,542417,638236,594500,845968,969763,1815731,131119,3590302,275817,99488,543393,642881,716428,1026469,1373991,2400460,170753,5224298,388781,22086614
2021-22,11,Jun-21,01/06/2021,National,All,NA,NA,NATIONAL,NA,98373,599442,697815,595799,935779,1059727,1995506,156300,3954740,327249,102403,600479,702882,716796,1136010,1498425,2634435,204312,5736616,461016,24214104
2021-22,11,Jul-21,01/07/2021,National,All,NA,NA,NATIONAL,NA,99172,578451,677623,590008,888918,1009868,1898786,158414,3742214,321767,103329,579451,682780,719261,1081123,1435036,2516159,206901,5466745,456459,23212465
2021-22,11,Aug-21,01/08/2021,National,All,NA,NA,NATIONAL,NA,86368,529927,616295,556363,800465,922143,1722608,143213,3443218,296966,90226,530920,621146,683706,979031,1316021,2295052,188458,5049042,423410,21294578
2021-22,11,Sep-21,01/09/2021,National,All,NA,NA,NATIONAL,NA,90791,571244,662035,566774,929695,1032065,1961760,162783,3874457,340683,94857,572353,667210,694893,1122515,1457271,2579786,211950,5602301,477966,23673389
