helper,month,date,admission_type,EAST OF ENGLAND COMMISSIONING REGION,LONDON COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,NATIONAL,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,SOUTH WEST COMMISSIONING REGION
1,,04/01/2018,sas_ordinary_elective,0,0.039716821,0,0.301466956,0,0,0.047638105,0.03207154
2,,05/01/2018,sas_ordinary_elective,0,0.044270869,0,0.338291266,0,0,0.053185764,0.037136194
3,,06/01/2018,sas_ordinary_elective,0,0.044588273,0,0.337557098,0,0,0.052992562,0.037163794
4,,07/01/2018,sas_ordinary_elective,0,0.042670052,0,0.332486924,0,0,0.051046741,0.036073582
5,,08/01/2018,sas_ordinary_elective,0,0.041014035,0,0.320685039,0,0,0.050273933,0.035052372
6,,09/01/2018,sas_ordinary_elective,0,0.040779432,0,0.319583788,0,0,0.051943751,0.034693568
7,,10/01/2018,sas_ordinary_elective,0,0.04435367,0,0.347791287,0,0,0.055793991,0.037218995
8,,11/01/2018,sas_ordinary_elective,0,0.04618909,0,0.348710376,0,0,0.055849192,0.036625588
9,,12/01/2018,sas_ordinary_elective,0,0.037287995,0,0.288428577,0,0,0.046078688,0.030346522
10,,01/01/2019,sas_ordinary_elective,0,0.040848433,0,0.305849882,0,0,0.048866318,0.031754137
11,,02/01/2019,sas_ordinary_elective,0,0.040517229,0,0.301585637,0,0,0.047927908,0.030512123
12,,03/01/2019,sas_ordinary_elective,0,0.044657273,0,0.340016284,0,0,0.054068973,0.035921781
13,,04/01/2019,sas_ordinary_elective,0.036059782,0.04525068,0.060210038,0.311096698,0.048286712,0.039137215,0.048686916,0.03306515
14,,05/01/2019,sas_ordinary_elective,0.039233816,0.052412956,0.065026289,0.339897603,0.052164553,0.042173247,0.053447967,0.03494197
15,,06/01/2019,sas_ordinary_elective,0.038902612,0.050301533,0.062845866,0.329969778,0.051957551,0.041041635,0.050798338,0.033589556
16,,07/01/2019,sas_ordinary_elective,0.040130825,0.054386376,0.067717318,0.347473883,0.053158163,0.042959855,0.053475567,0.035148973
17,,08/01/2019,sas_ordinary_elective,0.036915391,0.050246333,0.062832066,0.322553579,0.049294123,0.039716821,0.049156121,0.033906959
18,,09/01/2019,sas_ordinary_elective,0.036584188,0.050646537,0.061824655,0.320707119,0.049211322,0.040199826,0.048438513,0.033313553
19,,10/01/2019,sas_ordinary_elective,0.040048025,0.055255786,0.068214123,0.355753971,0.055228185,0.044546872,0.054317376,0.037563998
20,,11/01/2019,sas_ordinary_elective,0.038019403,0.052564757,0.064791687,0.339279356,0.05192995,0.04249065,0.053033962,0.036004582
21,,12/01/2019,sas_ordinary_elective,0.032444144,0.045471482,0.056539199,0.289529829,0.044533072,0.035645778,0.044464071,0.030042918
22,,01/01/2020,sas_ordinary_elective,0.035493976,0.049749527,0.059878835,0.314673696,0.048272912,0.039082014,0.048949119,0.032761547
23,,02/01/2020,sas_ordinary_elective,0.034776369,0.044988477,0.060265239,0.314386652,0.049666726,0.04060003,0.050163532,0.033410154
24,,03/01/2020,sas_ordinary_elective,0.027310489,0.032858148,0.049528725,0.25188027,0.041069235,0.033451555,0.039565019,0.027738294
25,,04/01/2020,sas_ordinary_elective,0.008349089,0.012544333,0.017608987,0.088547259,0.011881926,0.009618702,0.019182203,0.009301299
26,,05/01/2020,sas_ordinary_elective,0.011247119,0.016767178,0.021045223,0.109943005,0.014434953,0.011398921,0.022508039,0.012433932
