area_code,area_name,general_health_all,general_health_very_good,general_health_good_health,general_health_fair,general_health_bad,general_health_very_good,economic_activity_all,economic_activity_part_time,economic_activity_full_time,economic_activity_self_employed,economic_activity_unemployed,economic_activity_full_time_student,economic_activity_retired,economic_activity_student,economic_activity_looking_after_family,economic_activity_disabled,economic_activity_inactive_other,unemployed_16_24,unemployed_50_64,unemployed_never_worked,unemployed_long_term,sex_all,sex_male,sex_female,lives_in_household,lives_in_communal_establishment,area,density
E12000001,NORTH EAST,2596886,1142170,866035,395243,149374,44064,1684964,262246,701086,118811,102830,62792,100059,113032,77066,108508,38534,31362,17953,18601,40831,2596886,1269703,1327183,2550818,46068,857317,3
E12000002,NORTH WEST ,7052177,3276592,2314301,982586,372194,106504,4556474,685507,1922300,398127,240982,183341,245100,291855,202481,280347,106434,71662,40623,39193,94880,7052177,3464685,3587492,6927820,124357,1410535,5
E12000003,YORKSHIRE AND THE HUMBER,5283733,2407907,1817231,739959,247942,70694,3411370,537882,1420328,306254,186702,136706,182691,227904,164714,168404,79785,56251,31163,32738,74546,5283733,2598078,2685655,5185677,98056,1540764,3.4
E12000004,EAST MIDLANDS,4533222,2053334,1593206,634414,196010,56258,2921819,455077,1277792,269454,138233,110084,156313,191336,132349,130889,60292,41371,25044,20999,53784,4533222,2234493,2298729,4442192,91030,1560642,2.9
E12000005,WEST MIDLANDS,5601847,2525862,1946936,786583,263217,79249,3561430,537051,1501876,321659,206033,133765,174898,241065,183552,171785,89746,60027,35116,37836,83987,5601847,2763187,2838660,5509535,92312,1299832,4.3
E12000006,EAST,5846965,2761271,2060157,752324,212830,60383,3714151,567090,1672917,414593,160028,126738,187652,195388,188628,128875,72242,45199,31615,20680,62572,5846965,2875807,2971158,5748605,98360,1910838,3.1
E12000007,LONDON,8173941,4127788,2725645,915035,305343,100130,5644424,635988,2408415,679382,315828,248205,161027,476171,317122,217119,185167,70871,50571,65188,123016,8173941,4033289,4140652,8073700,100241,157215,52
E12000008,SOUTH EAST,8634750,4232707,2989920,1037592,291456,83075,5510646,805786,2501607,641511,213473,209349,263770,323421,270171,176937,104621,58904,43890,26422,81496,8634750,4239298,4395452,8446500,188250,1906965,4.5
E12000009,SOUTH WEST,5288935,2478081,1828026,710356,212080,60392,3323813,544851,1422973,397215,124605,124276,187379,188006,141106,134010,59392,36019,25755,13945,45719,5288935,2590608,2698327,5175084,113851,2383736,2.2
E92000001,ENGLAND,53012456,25005712,18141457,6954092,2250446,660749,34329091,5031478,14829294,3547006,1688714,1335256,1658889,2248178,1677189,1516874,796213,471666,301730,275602,660831,53012456,26069148,26943308,52059931,952525,13027843,4.1
W92000004,WALES,3063456,1428697,953363,447789,178222,55385,1944616,297371,789346,178204,96015,73552,114810,133303,85203,134653,42159,30772,16146,14933,38041,3063456,1504228,1559228,3011182,52274,2073511,1.5
